Date	Threshold
29-Apr-2025	26.5574341937228
30-Apr-2025	3.47758998329715
01-May-2025	7.71136058976882
02-May-2025	2.12440445372642
03-May-2025	4.38160241434774
04-May-2025	1.96837812800146
05-May-2025	3.4772251193369
06-May-2025	1.30941946409235
07-May-2025	5.16319312301215
08-May-2025	34.4263684299741
09-May-2025	30.5621511420358
10-May-2025	1.61052982030502
11-May-2025	2.06241445460909
12-May-2025	2.18154144206278
13-May-2025	2.92394594798914
14-May-2025	7.67165964106248
15-May-2025	0
16-May-2025	3.50573064287994
17-May-2025	10.8708716645556
18-May-2025	3.61706994780304
19-May-2025	5.34655816222879
20-May-2025	1.32883920618378
21-May-2025	4.20540758542725
22-May-2025	3.56668075805183
23-May-2025	3.26473979861099
24-May-2025	32.8443207711069
25-May-2025	19.107353330366
26-May-2025	3.2444466216698
27-May-2025	6.32468865953931
28-May-2025	8.93679788822034
29-May-2025	4.0919505948219
01-Jun-2025	3.93557519929612
02-Jun-2025	3.31598846273969
03-Jun-2025	6.68901833341589
04-Jun-2025	7.59450158744152
05-Jun-2025	4.25201495275401
06-Jun-2025	1.27578153227897
07-Jun-2025	27.000265564906
08-Jun-2025	143.823553221329
09-Jun-2025	4.53088449845014
10-Jun-2025	7.67842165342974
11-Jun-2025	12.9006580180499
12-Jun-2025	7.93298403094325
13-Jun-2025	8.02213815125292
14-Jun-2025	4.41147028057282
15-Jun-2025	13.2236810292776
16-Jun-2025	1.45506405711965
17-Jun-2025	10.255800321331
18-Jun-2025	7.71334442250832
19-Jun-2025	3.53857401536913
20-Jun-2025	3.46665397165994
21-Jun-2025	20.5799819862277
22-Jun-2025	24.111825073245
23-Jun-2025	5.25859190076423
24-Jun-2025	35.4457543284491
25-Jun-2025	7.11830464127932
26-Jun-2025	1.22409479310071
27-Jun-2025	6.31496443125296
28-Jun-2025	4.61313371572589
29-Jun-2025	42.2812061843246
30-Jun-2025	6.54949277607228
01-Jul-2025	4.414322324975
02-Jul-2025	34.4001014894647
03-Jul-2025	115.161300856591
04-Jul-2025	6.4410192231978
05-Jul-2025	11.8058539296013
06-Jul-2025	18.2521569595821
07-Jul-2025	6.37137691202943
08-Jul-2025	11.2467301082459
